Run,AGE,Assay Type,AvgSpotLen,Bases,BIOMATERIAL_PROVIDER,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,isolate,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,sex,SRA Study,tissue,AssemblyName
SRR13201009,not applicable,Targeted-Capture,278,30427173021,"Agilent Technologies\, 11011 N Torrey Pines Rd.\, La Jolla\, CA 92037\, USA",PRJNA677999,SAMN16786374,Human,13848469653,NATIONAL CENTER FOR TOXICOLOGICAL RESEARCH,public,"fastq,sra,run.zq","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX9634459,Illumina NovaSeq 6000,"20% Sample A + 80% Sample B\, enzymatically fragmented",SampleDf_BRP2_ST25_25ng_LIB4,PAIRED,Hybrid Selection,GENOMIC,Homo sapiens,ILLUMINA,2021-02-27T00:00:00Z,2020-12-18T19:00:00Z,1,Sample_Df_ctDNA,not applicable,SRP296025,not applicable,
SRR13201010,not applicable,Targeted-Capture,282,23899943791,"Agilent Technologies\, 11011 N Torrey Pines Rd.\, La Jolla\, CA 92037\, USA",PRJNA677999,SAMN16786374,Human,10834096438,NATIONAL CENTER FOR TOXICOLOGICAL RESEARCH,public,"sra,fastq,run.zq","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX9634458,Illumina NovaSeq 6000,"20% Sample A + 80% Sample B\, enzymatically fragmented",SampleDf_BRP2_ST25_25ng_LIB3,PAIRED,Hybrid Selection,GENOMIC,Homo sapiens,ILLUMINA,2021-02-27T00:00:00Z,2020-12-08T04:49:00Z,1,Sample_Df_ctDNA,not applicable,SRP296025,not applicable,
SRR13202776,not applicable,AMPLICON,81,277073433,"Agilent Technologies\, 11011 N Torrey Pines Rd.\, La Jolla\, CA 92037\, USA",PRJNA677999,SAMN16786374,Human,147016447,NATIONAL CENTER FOR TOXICOLOGICAL RESEARCH,public,"sra,bam,run.zq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX9636117,Ion Torrent S5 XL,"20% Sample A + 80% Sample B\, enzymatically fragmented",SampleDf_TFS2_ST22_25ng_LIB2,SINGLE,PCR,GENOMIC,Homo sapiens,ION_TORRENT,2021-02-27T00:00:00Z,2020-12-05T19:02:00Z,1,Sample_Df_ctDNA,not applicable,SRP296025,not applicable,GCA_000001405.13
SRR13202787,not applicable,AMPLICON,84,183301913,"Agilent Technologies\, 11011 N Torrey Pines Rd.\, La Jolla\, CA 92037\, USA",PRJNA677999,SAMN16786374,Human,96103536,NATIONAL CENTER FOR TOXICOLOGICAL RESEARCH,public,"bam,run.zq,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX9636106,Ion Torrent S5 XL,"20% Sample A + 80% Sample B\, enzymatically fragmented",SampleDf_TFS2_ST22_25ng_LIB1,SINGLE,PCR,GENOMIC,Homo sapiens,ION_TORRENT,2021-02-27T00:00:00Z,2020-12-05T19:01:00Z,1,Sample_Df_ctDNA,not applicable,SRP296025,not applicable,GCA_000001405.13
SRR13202796,not applicable,AMPLICON,68,159247832,"Agilent Technologies\, 11011 N Torrey Pines Rd.\, La Jolla\, CA 92037\, USA",PRJNA677999,SAMN16786374,Human,89477434,NATIONAL CENTER FOR TOXICOLOGICAL RESEARCH,public,"run.zq,bam,sra","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX9636097,Ion Torrent S5 XL,"20% Sample A + 80% Sample B\, enzymatically fragmented",SampleDf_TFS2_ST24_25ng_LIB4,SINGLE,PCR,GENOMIC,Homo sapiens,ION_TORRENT,2021-02-27T00:00:00Z,2020-12-05T19:01:00Z,1,Sample_Df_ctDNA,not applicable,SRP296025,not applicable,GCA_000001405.13
SRR13202797,not applicable,AMPLICON,67,146041068,"Agilent Technologies\, 11011 N Torrey Pines Rd.\, La Jolla\, CA 92037\, USA",PRJNA677999,SAMN16786374,Human,82096519,NATIONAL CENTER FOR TOXICOLOGICAL RESEARCH,public,"sra,run.zq,bam","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX9636096,Ion Torrent S5 XL,"20% Sample A + 80% Sample B\, enzymatically fragmented",SampleDf_TFS2_ST24_25ng_LIB3,SINGLE,PCR,GENOMIC,Homo sapiens,ION_TORRENT,2021-02-27T00:00:00Z,2020-12-05T19:02:00Z,1,Sample_Df_ctDNA,not applicable,SRP296025,not applicable,GCA_000001405.13
SRR13202799,not applicable,AMPLICON,66,119229966,"Agilent Technologies\, 11011 N Torrey Pines Rd.\, La Jolla\, CA 92037\, USA",PRJNA677999,SAMN16786374,Human,67934224,NATIONAL CENTER FOR TOXICOLOGICAL RESEARCH,public,"run.zq,bam,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX9636094,Ion Torrent S5 XL,"20% Sample A + 80% Sample B\, enzymatically fragmented",SampleDf_TFS2_ST24_25ng_LIB2,SINGLE,PCR,GENOMIC,Homo sapiens,ION_TORRENT,2021-02-27T00:00:00Z,2020-12-05T19:01:00Z,1,Sample_Df_ctDNA,not applicable,SRP296025,not applicable,GCA_000001405.13
SRR13202800,not applicable,AMPLICON,68,124154914,"Agilent Technologies\, 11011 N Torrey Pines Rd.\, La Jolla\, CA 92037\, USA",PRJNA677999,SAMN16786374,Human,69466921,NATIONAL CENTER FOR TOXICOLOGICAL RESEARCH,public,"sra,run.zq,bam","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX9636093,Ion Torrent S5 XL,"20% Sample A + 80% Sample B\, enzymatically fragmented",SampleDf_TFS2_ST24_25ng_LIB1,SINGLE,PCR,GENOMIC,Homo sapiens,ION_TORRENT,2021-02-27T00:00:00Z,2020-12-05T19:01:00Z,1,Sample_Df_ctDNA,not applicable,SRP296025,not applicable,GCA_000001405.13
SRR13202827,not applicable,AMPLICON,76,109678174,"Agilent Technologies\, 11011 N Torrey Pines Rd.\, La Jolla\, CA 92037\, USA",PRJNA677999,SAMN16786374,Human,58651644,NATIONAL CENTER FOR TOXICOLOGICAL RESEARCH,public,"run.zq,sra,bam","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX9636066,Ion Torrent S5 XL,"20% Sample A + 80% Sample B\, enzymatically fragmented",SampleDf_TFS2_ST23_25ng_LIB4,SINGLE,PCR,GENOMIC,Homo sapiens,ION_TORRENT,2021-02-27T00:00:00Z,2020-12-05T19:01:00Z,1,Sample_Df_ctDNA,not applicable,SRP296025,not applicable,GCA_000001405.13
SRR13202828,not applicable,AMPLICON,79,132226575,"Agilent Technologies\, 11011 N Torrey Pines Rd.\, La Jolla\, CA 92037\, USA",PRJNA677999,SAMN16786374,Human,69495756,NATIONAL CENTER FOR TOXICOLOGICAL RESEARCH,public,"sra,run.zq,bam","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX9636065,Ion Torrent S5 XL,"20% Sample A + 80% Sample B\, enzymatically fragmented",SampleDf_TFS2_ST23_25ng_LIB3,SINGLE,PCR,GENOMIC,Homo sapiens,ION_TORRENT,2021-02-27T00:00:00Z,2020-12-05T19:02:00Z,1,Sample_Df_ctDNA,not applicable,SRP296025,not applicable,GCA_000001405.13
