Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_line,cell_type,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study
SRR26521179,RNA-Seq,150,2398221600,PRJNA1032102,SAMN37984429,892899505,RD,Embryonal rhabdomyosarcoma,"BOZZONI, BIOLOGY AND BIOTECHNOLOGIES ""CHARLES DARWIN"", SAPIENZA UNIVERSITY OF ROME",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX22224725,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM7865234,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-09-13T00:00:00Z,2023-10-25T19:12:00Z,1,GSM7865234,RD,SRP468406
SRR26521180,RNA-Seq,150,1591643100,PRJNA1032102,SAMN37984430,597331730,RD,Embryonal rhabdomyosarcoma,"BOZZONI, BIOLOGY AND BIOTECHNOLOGIES ""CHARLES DARWIN"", SAPIENZA UNIVERSITY OF ROME",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX22224724,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM7865233,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-09-13T00:00:00Z,2023-10-25T19:11:00Z,1,GSM7865233,RD,SRP468406
SRR26521181,RNA-Seq,150,1385440800,PRJNA1032102,SAMN37984431,527049054,RD,Embryonal rhabdomyosarcoma,"BOZZONI, BIOLOGY AND BIOTECHNOLOGIES ""CHARLES DARWIN"", SAPIENZA UNIVERSITY OF ROME",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX22224723,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM7865232,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-09-13T00:00:00Z,2023-10-25T19:11:00Z,1,GSM7865232,RD,SRP468406
SRR26521182,RNA-Seq,150,2485743600,PRJNA1032102,SAMN37984432,902330942,RD,Embryonal rhabdomyosarcoma,"BOZZONI, BIOLOGY AND BIOTECHNOLOGIES ""CHARLES DARWIN"", SAPIENZA UNIVERSITY OF ROME",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX22224722,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM7865231,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-09-13T00:00:00Z,2023-10-25T19:13:00Z,1,GSM7865231,RD,SRP468406
